error_dict,error_str,num_errors,syndrome,S_anticommute,X_A,X_B,X_C,Z_block,notes
{'q2a': 'X'},q2a=X,1,"[1, 1, 1, 1, -1, -1, 1, 1]","[5, 6]",,,1.0,,X en q2a (bloque C)
"{'q1a': 'X', 'q2b': 'Y', 'q1b': 'Y'}",q1a=X · q1b=Y · q2b=Y,3,"[1, 1, -1, 1, 1, -1, -1, 1]","[3, 6, 7]",,0.0,2.0,A,"X en q1 (bloque B); X en q2b (bloque C) | Z en bloque A (no localizable a qubit con S7,S8)"
{'q0b': 'Z'},q0b=Z,1,"[1, 1, 1, 1, 1, 1, -1, 1]",[7],,,,A,"Z en bloque A (no localizable a qubit con S7,S8)"
"{'q1a': 'Z', 'q0a': 'X', 'q2b': 'X'}",q0a=X · q1a=Z · q2b=X,3,"[-1, -1, 1, 1, 1, -1, -1, -1]","[1, 2, 6, 7, 8]",1.0,,2.0,B,"X en q0a (bloque A); X en q2b (bloque C) | Z en bloque B (no localizable a qubit con S7,S8)"
"{'q2a': 'Z', 'q0': 'X'}",q0=X · q2a=Z,2,"[-1, 1, 1, 1, 1, 1, 1, -1]","[1, 8]",0.0,,,C,"X en q0 (bloque A) | Z en bloque C (no localizable a qubit con S7,S8)"
"{'q2': 'Y', 'q0b': 'X', 'q0a': 'Z'}",q0a=Z · q0b=X · q2=Y,3,"[1, -1, 1, 1, -1, 1, -1, -1]","[2, 5, 7, 8]",2.0,,0.0,B,"X en q0b (bloque A); X en q2 (bloque C) | Z en bloque B (no localizable a qubit con S7,S8)"
"{'q1a': 'Y', 'q0b': 'Z'}",q0b=Z · q1a=Y,2,"[1, 1, -1, -1, 1, 1, 1, -1]","[3, 4, 8]",,1.0,,C,"X en q1a (bloque B) | Z en bloque C (no localizable a qubit con S7,S8)"
{'q0': 'X'},q0=X,1,"[-1, 1, 1, 1, 1, 1, 1, 1]",[1],0.0,,,,X en q0 (bloque A)
{'q0a': 'Y'},q0a=Y,1,"[-1, -1, 1, 1, 1, 1, -1, 1]","[1, 2, 7]",1.0,,,A,"X en q0a (bloque A) | Z en bloque A (no localizable a qubit con S7,S8) | ⇒ consistente con Y en q0a (iXZ)"
"{'q1a': 'Z', 'q2a': 'Z', 'q0b': 'Z'}",q0b=Z · q1a=Z · q2a=Z,3,"[1, 1, 1, 1, 1, 1, 1, 1]",[],,,,,sin indicios de X/Z (síndrome +1)
